Color,X,Y,Datos,Fecha completa,Max. Valor
Nacional,597,170,EVENTUAL SEGUNDA VUELTA PRESIDENCIAL,22 DE NOVIEMBRE,3
Nacional,521,116,"ELECCIONES GENERALES PRESIDENCIALES. Generales en Buenos Aires, Chubut, Catamaca, Formosa, La Pampa, San Juan, Santa Cruz, Misiones, Entre Ríos y San Luis",25 DE OCTUBRE,3
Nacional,369,405,"ELECCIONES PRIMARIAS PRESIDENCIALES. Primarias en Buenos Aires, Chubut, San Juan, Misiones, Entre Ríos y San Luis",9 DE AGOSTO,3
Provincial,521,116,"ELECCIONES GENERALES PRESIDENCIALES. Generales en Buenos Aires, Chubut, Catamaca, Formosa, La Pampa, San Juan, Santa Cruz, Misiones, Entre Ríos y San Luis",25 DE OCTUBRE,1
Provincial,443,207,Elecciones generales en Chaco,20 DE SEPTIEMBRE,1
Provincial,369,405,"ELECCIONES PRIMARIAS PRESIDENCIALES. Primarias en Buenos Aires, Chubut, San Juan, Misiones, Entre Ríos y San Luis",9 DE AGOSTO,1
Provincial,369,153,Elecciones generales en Tucumán,23 DE AGOSTO,1
Provincial,295,478,"Elecciones generales en CABA, Córdoba y La Rioja, primarias en La Pampa",5 DE JULIO,1
Provincial,295,226,Eventual segunda vuelta en CABA,19 DE JULIO,1
Provincial,223,316,Elecciones generales en Río Negro y Santa Fe,14 DE JUNIO,1
Provincial,223,188,Elecciones generales en Mendoza y Tierra del Fuego,21 DE JUNIO,1
Provincial,147,262,Elecciones generales en Salta,17 DE MAYO,1
Provincial,147,134,Elecciones primarias en Chaco,24 DE MAYO,1
Provincial,66,350,Elecciones primarias en Salta,12 DE ABRIL,1
Provincial,66,226,Elecciones primarias en Mendoza y Santa Fe,19 DE ABRIL,1
Provincial,66,99,Elecciones primarias en CABA y generales en Neuquén,26 DE ABRIL,1
